input ,output,instruction,prompt
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Panchavarnas Temple. Day 3: Guindy National Park, San Thome Cathedral. Day 4: Day of rest or local exploration. Day 5: DakshinaChitra, Valluvar Kottam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Wagah Border. Day 2: Jallianwala Bagh, Durgiana Temple. Day 3: Mata Lal Devi Temple, Ram Bagh. Day 4: Day of rest or local exploration. Day 5: Hall Bazaar, Khalsa College.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: Plan a 5-day itinerary for Patna. ,"Day 1: Gandhi Maidan, Patna Museum. Day 2: Mahavir Mandir, Takht Sri Harmandir Sahib Ji. Day 3: Bihar Museum, Sanjay Gandhi Jaivik Udyan. Day 4: Day of rest or local exploration. Day 5: Shri Krishna Science Centre, Agam Kuan.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Patna, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Indian Museum. Day 3: Belur Math, Mother's House. Day 4: Day of rest or local exploration. Day 5: Eden Gardens, Salt Lake City Centre.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jaigarh Fort. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Day of rest or local exploration. Day 5: Rambagh Palace, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Mehtab Bagh, Tomb of Itimad-ud-Daulah. Day 3: Fatehpur Sikri, Buland Darwaza. Day 4: Day of rest or local exploration. Day 5: Sikandra Fort, Chini-ka-Rauza.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: Plan a 5-day itinerary for New Delhi. ,"Day 1: Red Fort, Jama Masjid. Day 2: Humayun's Tomb, Lotus Temple. Day 3: Qutub Minar, Rajpath. Day 4: Day of rest or local exploration. Day 5: India Gate, Rashtrapati Bhawan.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for New Delhi, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Haji Ali Dargah. Day 3: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Colaba Causeway Market. Day 4: Day of rest or local exploration. Day 5: Bandra-Worli Sea Link, Siddhivinayak Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Bangalore Palace, Cubbon Park. Day 2: Bannerghatta National Park, Lalbagh Botanical Garden. Day 3: ISKCON Temple, Ulsoor Lake. Day 4: Day of rest or local exploration. Day 5: Bull Temple, Vidhana Soudha.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Falaknuma Palace, Salar Jung Museum. Day 3: Ramoji Film City, Hussain Sagar Lake. Day 4: Day of rest or local exploration. Day 5: Birla Mandir, Nehru Zoological Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Fort St. George. Day 2: Kapaleeshwarar Temple, Mahabalipuram. Day 3: DakshinaChitra, San Thome Cathedral. Day 4: Day of rest or local exploration. Day 5: Vadapalani Murugan Temple, Elliot's Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Kankaria Lake, Sidi Saiyyed Mosque. Day 3: Calico Museum of Textiles, Teen Darwaza. Day 4: Day of rest or local exploration. Day 5: Dandi Kutir, Auto World Vintage Car Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Osho Ashram. Day 2: Sinhagad Fort, Raja Dinkar Kelkar Museum. Day 3: Shaniwar Wada, Parvati Hill. Day 4: Day of rest or local exploration. Day 5: Pataleshwar Cave Temple, Lal Mahal.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Napier Museum. Day 2: Kovalam Beach, Vellayani Lake. Day 3: Agasthyakoodam, Ponmudi. Day 4: Day of rest or local exploration. Day 5: Kuthiramalika Palace, Sree Chitra Art Gallery.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Chinese Fishing Nets, Fort Kochi. Day 2: Mattancherry Palace, St. Francis Church. Day 3: Cherai Beach, Indira Gandhi Memorial Museum. Day 4: Day of rest or local exploration. Day 5: Kodanad Elephant Training Centre, Thikka Devi Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: Plan a 5-day itinerary for Bhubaneswar. ,"Day 1: Lingaraj Temple, Rajarani Temple. Day 2: Mukteswara Temple, Parasurameswar Temple. Day 3: Dhauli Hill, Odisha State Museum. Day 4: Day of rest or local exploration. Day 5: Ratnagiri Temple, Udayagiri Caves.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhubaneswar, India."
:question: Plan a 5-day itinerary for Lucknow. ,"Day 1: Bada Imambara, Rumi Darwaza. Day 2: Chhota Imambara, British Residency. Day 3: Dilkusha Kothi, Ambedkar Memorial Park. Day 4: Day of rest or local exploration. Day 5: Clock Tower, Husainabad Clock Tower.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Lucknow, India."
:question: Plan a 5-day itinerary for Kanpur. ,"Day 1: Jhanvi Park, Moti Jheel. Day 2: Allen Forest Zoo, Bithoor. Day 3: Shuklatala Temple, Phoolbagh. Day 4: Day of rest or local exploration. Day 5: Bidhuna, Nana Rao Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kanpur, India."
:question: Plan a 5-day itinerary for Ludhiana. ,"Day 1: Phillaur Fort, Maharaja Ranjit Singh Museum. Day 2: Gurudwara Nanaksar, Dugri. Day 3: Gurudwara Manji Sahib, Mauli Jagran. Day 4: Day of rest or local exploration. Day 5: Baba Bakala, Kila Raipur.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ludhiana, India."
:question: Plan a 5-day itinerary for Nagpur. ,"Day 1: Deekshabhoomi, Ramtek Fort Temple. Day 2: Ambazari Lake, Sitabuldi Fort. Day 3: Raman Science Centre, Tadoba Andhari Tiger Reserve. Day 4: Day of rest or local exploration. Day 5: Khindsi Dam, Maharajbagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Nagpur, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masjid, Bhimbetka Rock Shelters. Day 2: Van Vihar National Park, Dharvi Lake. Day 3: Raisen Fort, Sanchi Stupas. Day 4: Day of rest or local exploration. Day 5: Lakshmi Narayan Temple, Bawangaja Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: Plan a 5-day itinerary for Indore. ,"Day 1: Lalbagh Palace, Rajwada Palace. Day 2: Khajrana Ganesh Temple, Annapurna Temple. Day 3: Patal Pani Waterfall, Ralamandal Wildlife Sanctuary. Day 4: Day of rest or local exploration. Day 5: Chhappan Dukan, Kanch Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Indore, India."
:question: Plan a 5-day itinerary for Vizag. ,"Day 1: Kailasagiri, Submarine Museum. Day 2: Yarada Beach, Indira Gandhi Zoological Park. Day 3: Ramakrishna Beach, Simhachalam Temple. Day 4: Day of rest or local exploration. Day 5: Araku Valley, Borra Caves.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Vizag, India."
:question: Plan a 5-day itinerary for Mysore. ,"Day 1: Mysore Palace, Chamundeshwari Temple. Day 2: Brindavan Gardens, St. Philomena's Church. Day 3: Sri Ranganathaswamy Temple, Somnathpur Temple. Day 4: Day of rest or local exploration. Day 5: Chunchi Falls, Kukke Subramanya.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mysore, India."
:question: Plan a 5-day itinerary for Udaipur. ,"Day 1: City Palace, Lake Pichola. Day 2: Jagmandir, Fateh Sagar Lake. Day 3: Sajjangarh Fort, Eklingji Temple. Day 4: Day of rest or local exploration. Day 5: Haldighati, Kumbhalgarh Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Udaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, Jantar Mantar. Day 2: Amer Fort, Jaigarh Fort. Day 3: City Palace, Jal Mahal. Day 4: Day of rest or local exploration. Day 5: Bharatpur Bird Sanctuary, Keoladeo National Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Jaisalmer. ,"Day 1: Jaisalmer Fort, Patwon Ki Haveli. Day 2: Sam Sand Dunes, Kuldhara. Day 3: Salim Singh Ki Haveli, Gadisar Lake. Day 4: Day of rest or local exploration. Day 5: Bada Bagh, Lodurva.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaisalmer, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Golden Temple, Kashi Vishwanath. Day 2: Sarnath, Dashashwamedh Ghat. Day 3: Assi Ghat, Manikarnika Ghat. Day 4: Day of rest or local exploration. Day 5: Vishalakshi Temple, Harishchandra Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Jallianwala Bagh. Day 2: Wagah Border, Mata Mansa Devi Temple. Day 3: Durgiana Temple, Ram Bagh. Day 4: Day of rest or local exploration. Day 5: Baba Atal Rai Temple, Maharaja Ranjit Singh Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Sinhagad Fort, Rajiv Gandhi Zoological Park. Day 3: Dagadusheth Halwai Temple, Parvati Hill. Day 4: Day of rest or local exploration. Day 5: Raja Dinkar Kelkar Museum, Pataleshwar Cave Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Fort Kochi, Chinese Fishing Nets. Day 2: Mattancherry Palace, Jewish Synagogue. Day 3: Ernakulam Shiva Temple, Indo-Portuguese Museum. Day 4: Day of rest or local exploration. Day 5: Mangalavanam Bird Sanctuary, Willingdon Island.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Dakshineswar Temple. Day 3: Belur Math, Indian Museum. Day 4: Day of rest or local exploration. Day 5: Eden Gardens, Prinsep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: Plan a 5-day itinerary for Bhubaneswar. ,"Day 1: Lingaraj Temple, Rajarani Temple. Day 2: Mukteswara Temple, Parasurameswar Temple. Day 3: Dhauli Hill, Odisha State Museum. Day 4: Day of rest or local exploration. Day 5: Ratnagiri Temple, Udayagiri Caves.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhubaneswar, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Fort St. George. Day 3: Guindy National Park, DakshinaChitra. Day 4: Day of rest or local exploration. Day 5: Vadapalani Murugan Temple, Koyambedu Velankanni Church.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Hussain Sagar Lake. Day 3: Birla Mandir, Salar Jung Museum. Day 4: Day of rest or local exploration. Day 5: Ramoji Film City, Nehru Zoological Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Kankaria Lake, Sardar Vallabhbhai Patel National Memorial. Day 3: Automotive Museum, Bhadra Fort. Day 4: Day of rest or local exploration. Day 5: Dandi Kutir, Calico Museum of Textiles.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Veli Tourist Village. Day 2: Kuthiramalika Palace, Napier Museum. Day 3: Kanakakunnu Palace, Vellayani Lake. Day 4: Day of rest or local exploration. Day 5: Meenmutty Waterfalls, Agasthyakoodam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Rambagh Palace. Day 4: Day of rest or local exploration. Day 5: Nahargarh Fort, Monkey Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Lucknow. ,"Day 1: Bada Imambara, Rumi Darwaza. Day 2: Chhota Imambara, British Residency. Day 3: Ambedkar Memorial Park, Hazaratganj Market. Day 4: Day of rest or local exploration. Day 5: Clock Tower, Husainabad Clock Tower.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Lucknow, India."
:question: Plan a 5-day itinerary for Patna. ,"Day 1: Patan Devi Temple, Gandhi Maidan. Day 2: Mahavir Mandir, Bihar Museum. Day 3: Sanjay Gandhi Jaivik Udyan, Rajgir. Day 4: Day of rest or local exploration. Day 5: Buddha Smriti Park, Nalanda.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Patna, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Mehtab Bagh, Itimad-ud-Daulah. Day 3: Day of rest or local exploration. Day 4: Tomb of Akbar, Fatehpur Sikri. Day 5: Agra Fort, Taj Mahal at sunset.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Kashi Vishwanath Temple, Dashashwamedh Ghat. Day 2: Sarnath, Bharat Mata Temple. Day 3: Day of rest or local exploration. Day 4: Panchganga Ghat, Assi Ghat. Day 5: Vishwanath Temple, Shri Kashi Vishwanath Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya. Day 3: Juhu Beach, Bandra-Worli Sea Link. Day 4: Day of rest or local exploration. Day 5: Haji Ali Dargah, Siddhivinayak Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Chandigarh. ,"Day 1: Sukhna Lake, Le Corbusier Centre. Day 2: Rock Garden, Open Hand Monument. Day 3: Capitol Complex, Pinjore Gardens. Day 4: Day of rest or local exploration. Day 5: Government Museum and Art Gallery, Rose Garden.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chandigarh, India."
:question: Plan a 5-day itinerary for New Delhi. ,"Day 1: India Gate, Rashtrapati Bhavan. Day 2: Humayun's Tomb, Lotus Temple. Day 3: Red Fort, Jama Masjid. Day 4: Day of rest or local exploration. Day 5: Qutub Minar, Rajghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for New Delhi, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Ulsoor Lake, Lalbagh Botanical Garden. Day 3: ISKCON Temple, Bull Temple. Day 4: Day of rest or local exploration. Day 5: Bangalore Palace, Bannerghatta National Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Fort Aguada, Calangute Beach. Day 2: Dudhsagar Waterfalls, Arambol Beach. Day 3: Basilica of Bom Jesus, Anjuna Beach. Day 4: Day of rest or local exploration. Day 5: Majorda Beach, Colva Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
